code,kis_sector,kis_market,updated_at
278650,일반서비스,KOSDAQ,2026-09-04T04:28:01.251250+00:00
281740,화학,KSQ150,2026-09-04T04:29:07.924598+00:00
282330,유통,KOSPI200,2026-08-31T03:47:23.863063+00:00
285130,화학,KOSPI200,2026-08-31T03:46:37.652414+00:00
287410,UNKNOWN,KOSPI,2026-09-04T04:28:43.029452+00:00
287840,일반서비스,KOSDAQ,2026-09-04T04:32:33.770185+00:00
289220,오락·문화,KOSDAQ,2026-09-04T04:26:30.082587+00:00
290510,UNKNOWN,KOSPI,2026-09-04T04:27:54.556900+00:00
290650,제약,KSQ150,2026-08-29T15:39:13.681655+00:00
290670,전기·전자,KOSDAQ,2026-09-04T04:28:41.202141+00:00
291230,일반서비스,KOSDAQ,2026-09-04T04:27:33.892549+00:00
293490,IT 서비스,KSQ150,2026-08-29T15:39:41.543527+00:00
293780,일반서비스,KOSDAQ,2026-09-04T04:26:18.439372+00:00
294090,의료·정밀기기,KOSDAQ,2026-09-04T04:28:03.590665+00:00
294570,IT 서비스,KOSDAQ,2026-09-04T04:26:52.813092+00:00
295310,금속,KSQ150,2026-09-04T04:33:34.778213+00:00
297890,기계·장비,KOSDAQ,2026-09-04T04:31:33.512212+00:00
298020,화학,KOSPI200,2026-09-04T04:26:20.050765+00:00
298040,전기·전자,KOSPI200,2026-08-29T15:36:27.261039+00:00
298050,화학,KOSPI200,2026-08-31T03:46:47.042540+00:00
298380,제약,KSQ150,2026-08-29T15:38:12.939950+00:00
298830,IT 서비스,KOSDAQ,2026-09-04T04:29:16.575174+00:00
299030,기계·장비,KOSDAQ,2026-09-04T04:28:27.261088+00:00
299660,일반서비스,KOSDAQ,2026-09-04T04:26:21.169866+00:00
299900,UNKNOWN,KOSPI,2026-09-04T04:27:11.482014+00:00
302440,제약,KOSPI200,2026-08-31T03:46:08.298097+00:00
304100,IT 서비스,KOSDAQ,2026-09-04T04:32:38.857191+00:00
307750,제약,KOSDAQ,2026-09-04T04:26:59.914483+00:00
307950,IT 서비스,KOSPI200,2026-08-29T15:37:14.955058+00:00
310210,일반서비스,KSQ150,2026-08-29T15:38:24.850873+00:00
314930,의료·정밀기기,KOSDAQ,2026-09-04T04:31:50.403285+00:00
316140,금융,KOSPI200,2026-08-29T15:36:36.895260+00:00
317330,화학,KOSDAQ,2026-09-04T04:30:57.916200+00:00
319400,기계·장비,KSQ150,2026-08-29T15:38:32.268651+00:00
319660,기계·장비,KSQ150,2026-08-29T15:38:17.476246+00:00
323280,기계·장비,KSQ150,2026-08-29T15:39:09.144844+00:00
323410,금융,KOSPI200,2026-08-29T15:37:18.939577+00:00
323990,일반서비스,KOSDAQ,2026-09-04T04:26:22.502240+00:00
326030,일반서비스,KOSPI200,2026-08-29T15:37:50.254544+00:00
328130,IT 서비스,KSQ150,2026-09-04T04:29:09.529663+00:00
329180,운송장비·부품,KOSPI200,2026-08-29T15:36:15.870820+00:00
334970,제약,KOSDAQ,2026-09-04T04:26:53.854425+00:00
335890,UNKNOWN,KOSPI,2026-09-04T04:32:36.236455+00:00
336260,전기·전자,KOSPI,2026-09-04T04:26:49.613137+00:00
336370,전기·전자,KOSPI,2026-09-04T04:27:35.804177+00:00
336570,의료·정밀기기,KOSDAQ,2026-09-04T04:29:12.961393+00:00
338220,IT 서비스,KOSDAQ,2026-09-04T04:29:56.827415+00:00
340570,제약,KOSDAQ,2026-09-04T04:31:41.872277+00:00
347700,IT 서비스,KOSDAQ,2026-08-29T15:39:28.425144+00:00
347850,일반서비스,KSQ150,2026-08-29T15:38:37.936996+00:00
348210,기계·장비,KSQ150,2026-09-04T04:27:59.839522+00:00
348340,기계·장비,KOSDAQ,2026-09-04T04:33:37.495403+00:00
348370,화학,KSQ150,2026-08-31T03:47:52.007318+00:00
352480,화학,KSQ150,2026-09-04T04:29:54.088594+00:00
352820,오락·문화,KOSPI200,2026-08-29T15:37:40.560798+00:00
353200,전기·전자,KOSPI,2026-08-31T03:48:07.229102+00:00
354320,금속,KOSDAQ,2026-09-04T04:29:23.465085+00:00
356860,전기·전자,KOSDAQ,2026-08-29T15:39:34.154433+00:00
357780,화학,KSQ150,2026-08-29T15:38:29.971128+00:00
358570,일반서비스,KSQ150,2026-09-04T04:30:01.554359+00:00
360070,전기·전자,KOSDAQ,2026-09-04T04:28:54.940150+00:00
360750,ETF(실물복제/수익증권),ETF,2026-08-29T15:36:43.147074+00:00
361610,전기·전자,KOSPI200,2026-08-31T03:46:12.589609+00:00
365340,화학,KOSDAQ,2026-09-04T04:28:16.280429+00:00
372170,기계·장비,KOSDAQ,2026-09-04T04:28:52.356047+00:00
373220,전기·전자,KOSPI200,2026-08-29T15:36:03.412784+00:00
376300,IT 서비스,KSQ150,2026-09-04T04:27:24.835508+00:00
376900,제약,KOSDAQ,2026-09-04T04:33:16.178078+00:00
377030,IT 서비스,KOSDAQ,2026-09-04T04:27:29.296506+00:00
377300,금융,KOSPI200,2026-08-29T15:37:56.502966+00:00
378340,기계·장비,KOSDAQ,2026-09-04T04:29:31.253794+00:00
379800,ETF(실물복제/수익증권),ETF,2026-08-29T15:37:22.907351+00:00
379810,ETF(실물복제/수익증권),ETF,2026-08-29T15:37:30.875053+00:00
382840,기계·장비,KOSDAQ,2026-09-04T04:28:08.133786+00:00
383220,섬유·의류,KOSPI200,2026-08-31T03:46:16.612242+00:00
383310,화학,KOSDAQ,2026-09-04T04:26:44.897145+00:00
388210,전기·전자,KOSDAQ,2026-09-04T04:33:18.897979+00:00
388720,기계·장비,KSQ150,2026-09-04T04:32:18.313459+00:00
389020,전기·전자,KOSDAQ,2026-09-04T04:31:12.812843+00:00
389470,일반서비스,KOSDAQ,2026-09-04T04:32:24.930756+00:00
393890,전기·전자,KOSDAQ,2026-09-04T04:28:30.527948+00:00
394280,IT 서비스,KOSDAQ,2026-09-04T04:30:43.020650+00:00
396500,ETF(실물복제/수익증권),ETF,2026-08-29T15:37:29.170557+00:00
397030,일반서비스,KOSDAQ,2026-09-04T04:33:09.822312+00:00
399720,전기·전자,KSQ150,2026-09-04T04:30:29.337478+00:00
402030,IT 서비스,KOSDAQ,2026-09-04T04:28:47.415500+00:00
402340,금융,KOSPI200,2026-08-29T15:36:01.151039+00:00
403870,기계·장비,KSQ150,2026-08-29T15:38:13.510248+00:00
417010,기계·장비,KOSDAQ,2026-09-04T04:28:59.277075+00:00
417200,전기·전자,KSQ150,2026-09-04T04:30:11.264966+00:00
418550,일반서비스,KOSDAQ,2026-09-04T04:28:49.262504+00:00
419530,오락·문화,KOSDAQ,2026-09-04T04:32:30.798013+00:00
420770,기계·장비,KSQ150,2026-08-29T15:39:15.937221+00:00
424870,일반서비스,KOSDAQ,2026-09-04T04:33:26.464208+00:00
437730,운송장비·부품,KSQ150,2026-08-29T15:39:31.852675+00:00
439090,화학,KOSDAQ,2026-09-04T04:29:17.865986+00:00
439260,운송장비·부품,KOSPI,2026-09-04T04:32:50.461420+00:00
439960,의료·정밀기기,KOSDAQ,2026-09-04T04:33:51.065228+00:00
440110,전기·전자,KOSDAQ,2026-08-29T15:38:25.423354+00:00
443060,일반서비스,KOSPI200,2026-08-29T15:37:23.483847+00:00
445090,전기·전자,KOSDAQ,2026-09-04T04:30:52.890983+00:00
445680,의료·정밀기기,KSQ150,2026-08-29T15:39:36.425336+00:00
448280,일반서비스,KOSDAQ,2026-09-04T04:30:05.645822+00:00
450080,전기·전자,KOSPI200,2026-08-31T03:47:47.238695+00:00
454910,기계·장비,KOSPI200,2026-08-31T03:47:45.584645+00:00
455900,기계·장비,KOSDAQ,2026-09-04T04:31:02.717090+00:00
456160,제약,KOSDAQ,2026-09-04T04:32:54.955808+00:00
458870,의료·정밀기기,KOSDAQ,2026-08-29T15:39:51.169163+00:00
459580,ETF,ETF,2026-08-29T15:37:55.929978+00:00
460930,운송장비·부품,KOSDAQ,2026-09-04T04:30:35.634462+00:00
462870,IT 서비스,KOSPI,2026-08-31T03:47:54.223631+00:00
466100,IT 서비스,KSQ150,2026-09-04T04:32:58.957915+00:00
468530,일반서비스,KOSDAQ,2026-09-04T04:33:23.882877+00:00
475830,제약,KSQ150,2026-08-29T15:39:13.107028+00:00
476060,일반서비스,KOSDAQ,2026-09-04T04:33:21.517016+00:00
476830,일반서비스,KOSDAQ,2026-08-29T15:39:43.222893+00:00
477850,IT 서비스,KOSDAQ,2026-09-04T04:33:52.678358+00:00
484590,금속,KOSDAQ,2026-09-04T04:32:52.553876+00:00
486990,IT 서비스,KOSDAQ,2026-09-04T04:33:13.309467+00:00
488770,ETF(Active/수익증권),ETF,2026-08-29T15:37:35.426237+00:00
490470,일반서비스,KOSDAQ,2026-09-04T04:33:29.514152+00:00
491000,의료·정밀기기,KOSDAQ,2026-08-29T15:39:53.463203+00:00
493280,일반서비스,KOSDAQ,2026-09-04T04:33:42.906210+00:00
950130,UNKNOWN,KOSDAQ,2026-09-04T04:26:24.306992+00:00
950160,UNKNOWN,KOSDAQ,2026-08-29T15:42:44.120977+00:00
950180,UNKNOWN,KOSPI,2026-09-04T04:27:47.981160+00:00
950220,UNKNOWN,KOSDAQ,2026-09-04T04:26:25.520036+00:00
950260,UNKNOWN,KOSDAQ,2026-08-29T15:42:44.696302+00:00
